date,demand
6/13/2022,179
6/14/2022,179
6/15/2022,175
6/16/2022,175
6/17/2022,175
6/18/2022,175
6/19/2022,180
6/20/2022,180
6/21/2022,183
6/22/2022,190
6/23/2022,190
6/24/2022,193
6/25/2022,201
6/26/2022,202
6/27/2022,204
6/28/2022,204
6/29/2022,208.5
6/30/2022,215
7/1/2022,216
7/2/2022,217
7/3/2022,217
7/4/2022,217
7/5/2022,217
7/6/2022,218
7/7/2022,218
7/8/2022,218
7/9/2022,218
7/10/2022,219
7/11/2022,218
7/12/2022,218
7/13/2022,214
7/14/2022,212
7/15/2022,212
7/16/2022,209
7/17/2022,209
7/18/2022,209
7/19/2022,209
7/20/2022,208
7/21/2022,207
7/22/2022,207
7/23/2022,207
7/24/2022,207
7/25/2022,207
7/26/2022,207
7/27/2022,208
7/28/2022,207
7/29/2022,201
7/30/2022,207
7/31/2022,207
8/1/2022,208
8/2/2022,208
8/3/2022,208
8/4/2022,208
8/5/2022,208
8/6/2022,209
8/7/2022,213
8/8/2022,215
8/9/2022,218
8/10/2022,229
8/11/2022,231
8/12/2022,235
8/13/2022,235
8/14/2022,236
8/15/2022,236
8/16/2022,239
8/17/2022,240
8/18/2022,240
8/19/2022,243.5
8/20/2022,240
8/21/2022,243.5
8/22/2022,243.5
8/23/2022,245
8/24/2022,243.5
8/25/2022,243.5
8/26/2022,240
8/27/2022,239
8/28/2022,238
8/29/2022,235
8/30/2022,234
8/31/2022,234
9/1/2022,234
9/2/2022,229
9/3/2022,224
9/4/2022,224
9/5/2022,224
9/6/2022,224
9/7/2022,223
9/8/2022,223
9/9/2022,224
9/10/2022,224
9/11/2022,228
9/12/2022,228
9/13/2022,228
9/14/2022,229
9/15/2022,229
9/16/2022,224.5
9/17/2022,224.5
9/18/2022,231
9/19/2022,235
9/20/2022,235
9/21/2022,236
9/22/2022,237
9/23/2022,241
9/24/2022,243
9/25/2022,251
9/26/2022,251.5
9/27/2022,256.5
9/28/2022,260
9/29/2022,262
9/30/2022,262
10/1/2022,265
10/2/2022,266
10/3/2022,269
10/4/2022,269
10/5/2022,269
10/6/2022,266
10/7/2022,266
10/8/2022,266
10/9/2022,265
10/10/2022,263.6666667
10/11/2022,260
10/12/2022,257.3333333
10/13/2022,255
10/14/2022,255
10/15/2022,251
10/16/2022,251
10/17/2022,247
10/18/2022,246
10/19/2022,247
10/20/2022,246
10/21/2022,246
10/22/2022,246
10/23/2022,246
10/24/2022,246
10/25/2022,247
10/26/2022,251
10/27/2022,251
10/28/2022,252
10/29/2022,252
10/30/2022,256
10/31/2022,258
11/1/2022,260
11/2/2022,260
11/3/2022,261
11/4/2022,271
11/5/2022,274
11/6/2022,275
11/7/2022,275
11/8/2022,290
11/9/2022,290
11/10/2022,290
11/11/2022,291
11/12/2022,293
11/13/2022,294
11/14/2022,294
11/15/2022,296
11/16/2022,296
11/17/2022,294
11/18/2022,296
11/19/2022,295
11/20/2022,295
11/21/2022,294
11/22/2022,292
11/23/2022,289
11/24/2022,287
11/25/2022,283
11/26/2022,282
11/27/2022,281
11/28/2022,281
11/29/2022,277
11/30/2022,271
12/1/2022,269
12/2/2022,267
12/3/2022,267
12/4/2022,269
12/5/2022,267
12/6/2022,266
12/7/2022,266
12/8/2022,266
12/9/2022,266
12/10/2022,267
12/11/2022,267
12/12/2022,270
12/13/2022,270
12/14/2022,273
12/15/2022,275
12/16/2022,281
12/17/2022,293
12/18/2022,293
12/19/2022,295
12/20/2022,300
12/21/2022,302
12/22/2022,305
12/23/2022,306
12/24/2022,306
12/25/2022,306
12/26/2022,315
12/27/2022,315
12/28/2022,317
12/29/2022,318
12/30/2022,318
12/31/2022,318
1/1/2023,318
1/2/2023,318
1/3/2023,318
1/4/2023,318
1/5/2023,318
1/6/2023,317
1/7/2023,317
1/8/2023,316
1/9/2023,316
1/10/2023,312
1/11/2023,312
1/12/2023,309
1/13/2023,300
1/14/2023,295
1/15/2023,289.5
1/16/2023,289.5
1/17/2023,289.5
1/18/2023,289.5
1/19/2023,289.5
1/20/2023,289.5
1/21/2023,290
1/22/2023,290.5
1/23/2023,291
1/24/2023,291
1/25/2023,293
1/26/2023,295
1/27/2023,301
1/28/2023,304
1/29/2023,304
1/30/2023,310
1/31/2023,315
2/1/2023,323
2/2/2023,323
2/3/2023,326
2/4/2023,327
2/5/2023,335
2/6/2023,335
2/7/2023,336
2/8/2023,336
2/9/2023,339
2/10/2023,339
2/11/2023,339
2/12/2023,339
2/13/2023,340
2/14/2023,341
2/15/2023,341
2/16/2023,341
2/17/2023,341
2/18/2023,341
2/19/2023,340
2/20/2023,333.5
2/21/2023,333.5
2/22/2023,333.5
2/23/2023,333.5
2/24/2023,332
2/25/2023,330
2/26/2023,330
2/27/2023,329
2/28/2023,328
3/1/2023,327
3/2/2023,326
3/3/2023,322
3/4/2023,318
3/5/2023,322
3/6/2023,322
3/7/2023,322
3/8/2023,322
3/9/2023,322
3/10/2023,318
3/11/2023,318
3/12/2023,328
3/13/2023,338
3/14/2023,338
3/15/2023,338
3/16/2023,341.5
3/17/2023,341.5
3/18/2023,342
3/19/2023,342
3/20/2023,345
3/21/2023,351
3/22/2023,353
3/23/2023,355
3/24/2023,358
3/25/2023,359
3/26/2023,362
3/27/2023,362
3/28/2023,362
3/29/2023,360
3/30/2023,360
3/31/2023,362
4/1/2023,364
4/2/2023,362
4/3/2023,360
4/4/2023,360
4/5/2023,358
4/6/2023,356
4/7/2023,356
4/8/2023,353
4/9/2023,350
4/10/2023,347
4/11/2023,347
4/12/2023,346
4/13/2023,344
4/14/2023,344
4/15/2023,344
4/16/2023,339
4/17/2023,339
4/18/2023,339
4/19/2023,339
4/20/2023,348
4/21/2023,349
4/22/2023,349
4/23/2023,349
4/24/2023,352
4/25/2023,352
4/26/2023,352
4/27/2023,355
4/28/2023,359
4/29/2023,365
4/30/2023,365
5/1/2023,365
5/2/2023,365
5/3/2023,366
5/4/2023,381
5/5/2023,384
5/6/2023,389
5/7/2023,389
5/8/2023,390
5/9/2023,390
5/10/2023,389
5/11/2023,389
5/12/2023,390
5/13/2023,389
5/14/2023,389
5/15/2023,389
5/16/2023,383
5/17/2023,382
5/18/2023,382
5/19/2023,377
5/20/2023,376
5/21/2023,373
5/22/2023,372
5/23/2023,371
5/24/2023,371
5/25/2023,366
5/26/2023,366
5/27/2023,366
5/28/2023,366
5/29/2023,366
5/30/2023,366
5/31/2023,366
6/1/2023,366
6/2/2023,365
6/3/2023,366
6/4/2023,368
6/5/2023,368
6/6/2023,367
6/7/2023,367
6/8/2023,370
6/9/2023,373
6/10/2023,375
6/11/2023,380
6/12/2023,384
6/13/2023,387
6/14/2023,393
6/15/2023,398
6/16/2023,402
6/17/2023,402.5
6/18/2023,403
6/19/2023,403
6/20/2023,410
6/21/2023,410
6/22/2023,410.5
6/23/2023,411
6/24/2023,411
6/25/2023,411
6/26/2023,416
6/27/2023,416
6/28/2023,416
6/29/2023,412.5
6/30/2023,409
7/1/2023,405
7/2/2023,404
7/3/2023,402
7/4/2023,397
7/5/2023,397
7/6/2023,397
7/7/2023,397
7/8/2023,397
7/9/2023,392
7/10/2023,392
7/11/2023,392
7/12/2023,392
7/13/2023,392
7/14/2023,392
7/15/2023,389
7/16/2023,389
7/17/2023,389
7/18/2023,389
7/19/2023,389
7/20/2023,396
7/21/2023,397
7/22/2023,397
7/23/2023,401
7/24/2023,404
7/25/2023,402
7/26/2023,408
7/27/2023,413
7/28/2023,418
7/29/2023,418
7/30/2023,424
7/31/2023,424
8/1/2023,430
8/2/2023,430
8/3/2023,442
8/4/2023,442
8/5/2023,442
8/6/2023,442
8/7/2023,444
8/8/2023,444
8/9/2023,442
8/10/2023,442
8/11/2023,435
8/12/2023,435
8/13/2023,435
8/14/2023,435
8/15/2023,435
8/16/2023,430
8/17/2023,427
8/18/2023,419
8/19/2023,419
8/20/2023,418
8/21/2023,419
8/22/2023,419
8/23/2023,418
8/24/2023,418
8/25/2023,418
8/26/2023,416
8/27/2023,416
8/28/2023,419
8/29/2023,421
8/30/2023,421
8/31/2023,422
9/1/2023,422
9/2/2023,422
9/3/2023,427
9/4/2023,427
9/5/2023,428
9/6/2023,433
9/7/2023,437
9/8/2023,440
9/9/2023,444
9/10/2023,449
9/11/2023,450
9/12/2023,451
9/13/2023,451
9/14/2023,453
9/15/2023,457
9/16/2023,459
9/17/2023,463
9/18/2023,465
9/19/2023,465
9/20/2023,465
9/21/2023,465
9/22/2023,463
9/23/2023,460
9/24/2023,462
9/25/2023,462
9/26/2023,460
9/27/2023,456
9/28/2023,449
9/29/2023,448
9/30/2023,441
10/1/2023,440
10/2/2023,439.5
10/3/2023,438
10/4/2023,436
10/5/2023,435
10/6/2023,435
10/7/2023,435
10/8/2023,435
10/9/2023,435
10/10/2023,435
10/11/2023,435
10/12/2023,437
10/13/2023,443
10/14/2023,446.5
10/15/2023,447
10/16/2023,450
10/17/2023,450
10/18/2023,453
10/19/2023,453.5
10/20/2023,457
10/21/2023,458
10/22/2023,458
10/23/2023,458
10/24/2023,461
10/25/2023,464
10/26/2023,464
10/27/2023,467
10/28/2023,469
10/29/2023,469
10/30/2023,478
10/31/2023,480
11/1/2023,480
11/2/2023,480
11/3/2023,479
11/4/2023,485
11/5/2023,485
11/6/2023,485
11/7/2023,485
11/8/2023,485
11/9/2023,485
11/10/2023,479
11/11/2023,476.5
11/12/2023,476.5
11/13/2023,476
11/14/2023,476
11/15/2023,474
11/16/2023,469
11/17/2023,468
11/18/2023,468
11/19/2023,465
11/20/2023,465
11/21/2023,465
11/22/2023,465
11/23/2023,465
11/24/2023,465
11/25/2023,466
11/26/2023,466
11/27/2023,467
11/28/2023,467
11/29/2023,467
11/30/2023,469
12/1/2023,469
12/2/2023,470
12/3/2023,472
12/4/2023,473
12/5/2023,478
12/6/2023,479
12/7/2023,481
12/8/2023,488
12/9/2023,497
12/10/2023,504
12/11/2023,505.5
12/12/2023,507
12/13/2023,507.5
12/14/2023,511
12/15/2023,508
12/16/2023,510
12/17/2023,510
12/18/2023,510
12/19/2023,510
12/20/2023,510
12/21/2023,510
12/22/2023,508
12/23/2023,504
12/24/2023,499
12/25/2023,498.5
12/26/2023,498
12/27/2023,498
12/28/2023,498
12/29/2023,498
12/30/2023,498
12/31/2023,498
